GarniturId	Direction	Name	Type	FahrzeugId	Mirrored
M34	left		lok	L36:0	0
M34	left		wagen	P219	0
M34	left		wagen	P220	0
M34	left		wagen	P221	0
M34	left		wagen	P218	0
M34	left		wagen	P217	0
M34	left		wagen	P216	0
M34	left		wagen	P215	0
M34	left		wagen	P214	0
M34	left		wagen	P213	0
M40	left		lok	L55:0	0
M40	left		wagen	P223	0
M40	left		wagen	P227	0
M40	left		wagen	P224	0
M39	left		lok	L42:0	0
M39	left		wagen	P279	0
M39	left		wagen	P281	0
M39	left		wagen	P282	0
M39	left		wagen	P283	0
M39	left		wagen	P280	0
M39	left		wagen	P278	0
M35	left		lok	L34:0	0
M35	left		wagen	P206	0
M35	left		wagen	P205	0
M35	left		wagen	P209	0
M35	left		wagen	P210	0
M35	left		wagen	P212	0
M06	left	RSV rot	lok	L37:0	0
M06	left	RSV rot	wagen	P103	0
M06	left	RSV rot	wagen	P104	0
M06	left	RSV rot	wagen	P102	0
M06	left	RSV rot	wagen	P105	0
M06	left	RSV rot	wagen	P106	0
M07	left	RSV lila	lok	L38:0	0
M07	left	RSV lila	wagen	P108	0
M07	left	RSV lila	wagen	P109	0
M07	left	RSV lila	wagen	P107	0
M07	left	RSV lila	wagen	P111	0
M07	left	RSV lila	wagen	P110	0
M20	left	Kittel	lok	L56:0	0
M08	left	AT3	lok	L92:0	0
M15	left	AT3	lok	L91:0	0
M23	left	AT3	lok	L58:0	0
M18	left	AT3	lok	L93:0	0
M21	left		lok	L59:0	0
M22	left		lok	L60:0	0
M19	left		lok	L90:0	0
M43	left		lok	L89:0	0
M09	left		lok	L85:0	0
M09	left		lok	L83:0	0
M09	left		lok	L84:0	0
M09	left		lok	L81:0	0
M10	left		lok	L82:0	0
M10	left		lok	L86:0	0
M10	left		lok	L87:0	0
M10	left		lok	L88:0	0
